"Trade.ID","Date...Time","Product","Delivery.Period","Quantity","Unit.Price","Total.Quantity","Value","Off.Market.Trade","Broker","Anonymous","Voided","Invoicing.Date","Swap"
24601,"23/05/2024 11:11","CP-NZU","27-May-24",100,45.5,100,4550,"","N","Y","N","24-May-24","N"
24595,"22/05/2024 15:22","CP-NZU","24-May-24",20,44,20,880,"","N","Y","N","23-May-24","N"
24591,"22/05/2024 10:35","CP-NZU","24-May-24",1000,45,1000,45000,"","Y","Y","N","23-May-24","N"
24569,"20/05/2024 15:33","CP-NZU","22-May-24",1000,45,1000,45000,"","N","Y","N","21-May-24","N"
24547,"17/05/2024 19:31","CP-NZU","21-May-24",100,52,100,5200,"","N","Y","N","20-May-24","N"
24520,"16/05/2024 14:26","CP-NZU","20-May-24",3422,54.15,3422,185301.3,"Off Market Trade","Y","Y","N","17-May-24","N"
24519,"16/05/2024 14:22","CP-NZU","20-May-24",100,54,100,5400,"","Y","Y","N","17-May-24","N"
24518,"16/05/2024 14:22","CP-NZU","20-May-24",200,54,200,10800,"","Y","Y","N","17-May-24","N"
24517,"16/05/2024 14:22","CP-NZU","20-May-24",600,54,600,32400,"","Y","Y","N","17-May-24","N"
24516,"16/05/2024 14:22","CP-NZU","20-May-24",352,54,352,19008,"","Y","Y","N","17-May-24","N"
24485,"14/05/2024 16:31","CP-NZU","16-May-24",10,53.5,10,535,"","N","Y","N","15-May-24","N"
24479,"14/05/2024 11:20","CP-NZU","16-May-24",4913,54,4913,265302,"","N","Y","N","15-May-24","N"
24477,"13/05/2024 19:56","CP-NZU","15-May-24",50,54.1,50,2705,"","N","Y","N","14-May-24","N"
24458,"13/05/2024 8:08","CP-NZU","15-May-24",100,54,100,5400,"","N","Y","N","14-May-24","N"
24457,"13/05/2024 8:08","CP-NZU","15-May-24",30,54,30,1620,"","N","Y","N","14-May-24","N"
24437,"10/05/2024 17:07","CP-NZU","14-May-24",100,54,100,5400,"","N","Y","N","13-May-24","N"
24436,"10/05/2024 17:05","CP-NZU","14-May-24",100,54.1,100,5410,"","N","Y","N","13-May-24","N"
24405,"9/05/2024 13:58","CP-NZU","13-May-24",100,54,100,5400,"","N","Y","N","10-May-24","N"
24387,"9/05/2024 10:53","CP-NZU","13-May-24",100,53.25,100,5325,"","N","Y","N","10-May-24","N"
24382,"9/05/2024 10:08","CP-NZU","13-May-24",503,55,503,27665,"","N","Y","N","10-May-24","N"
24378,"8/05/2024 16:13","CP-NZU","10-May-24",502,55,502,27610,"","N","Y","N","9-May-24","N"
24377,"8/05/2024 15:39","CP-NZU","10-May-24",65,55,65,3575,"","N","Y","N","9-May-24","N"
24376,"8/05/2024 15:19","CP-NZU","10-May-24",61,55,61,3355,"","N","Y","N","9-May-24","N"
24375,"8/05/2024 15:19","CP-NZU","10-May-24",25,55,25,1375,"","N","Y","N","9-May-24","N"
24374,"8/05/2024 15:19","CP-NZU","10-May-24",500,55,500,27500,"","N","Y","N","9-May-24","N"
24373,"8/05/2024 15:19","CP-NZU","10-May-24",170,55,170,9350,"","N","Y","N","9-May-24","N"
24369,"8/05/2024 11:21","CP-NZU","10-May-24",100,54,100,5400,"","N","Y","N","9-May-24","N"
24344,"7/05/2024 11:37","CP-NZU","9-May-24",151,55,151,8305,"","N","Y","N","8-May-24","N"
24332,"6/05/2024 10:12","CP-NZU","8-May-24",490,55,490,26950,"","N","Y","N","7-May-24","N"
24331,"6/05/2024 10:00","CP-NZU","8-May-24",40,55,40,2200,"","N","Y","N","7-May-24","N"
24330,"6/05/2024 10:00","CP-NZU","8-May-24",50,55,50,2750,"","N","Y","N","7-May-24","N"
24295,"3/05/2024 13:13","CP-NZU","7-May-24",65,53.15,65,3454.75,"","N","Y","N","6-May-24","N"
24269,"2/05/2024 13:31","CP-NZU","6-May-24",100,53.1,100,5310,"","N","Y","N","3-May-24","N"
24268,"2/05/2024 12:04","CP-NZU","6-May-24",350,53.35,350,18672.5,"","N","Y","N","3-May-24","N"
24255,"1/05/2024 13:37","CP-NZU","3-May-24",520,55,520,28600,"","Y","Y","N","2-May-24","N"
24221,"29/04/2024 12:23","CP-NZU","1-May-24",31,54,31,1674,"","Y","Y","N","30-Apr-24","N"
24168,"24/04/2024 14:37","CP-NZU","29-Apr-24",677,55,677,37235,"","Y","Y","N","26-Apr-24","N"
24167,"24/04/2024 14:37","CP-NZU","29-Apr-24",323,55,323,17765,"","N","Y","N","26-Apr-24","N"
24151,"23/04/2024 14:28","CP-NZU","26-Apr-24",76,55.5,76,4218,"","N","Y","N","24-Apr-24","N"
24149,"23/04/2024 11:27","CP-NZU","26-Apr-24",144,55.5,144,7992,"","N","Y","N","24-Apr-24","N"
24138,"22/04/2024 14:39","CP-NZU","24-Apr-24",5865,55,5865,322575,"","Y","Y","N","23-Apr-24","N"
24137,"22/04/2024 14:39","CP-NZU","24-Apr-24",50,55,50,2750,"","Y","Y","N","23-Apr-24","N"
24134,"22/04/2024 11:37","CP-NZU","24-Apr-24",500,54,500,27000,"","Y","Y","N","23-Apr-24","N"
24095,"18/04/2024 15:26","CP-NZU","22-Apr-24",300,53,300,15900,"","N","Y","N","19-Apr-24","N"
24089,"18/04/2024 15:05","CP-NZU","22-Apr-24",69,52.5,69,3622.5,"","Y","Y","N","19-Apr-24","N"
24086,"18/04/2024 12:07","CP-NZU","22-Apr-24",500,50,500,25000,"","N","Y","N","19-Apr-24","N"
24085,"18/04/2024 12:02","CP-NZU","22-Apr-24",3820,52.5,3820,200550,"Off Market Trade","Y","Y","N","19-Apr-24","N"
24084,"18/04/2024 12:01","CP-NZU","22-Apr-24",500,50,500,25000,"","N","Y","N","19-Apr-24","N"
24079,"18/04/2024 9:58","CP-NZU","22-Apr-24",599,52.5,599,31447.5,"","N","Y","N","19-Apr-24","N"
24078,"18/04/2024 9:43","CP-NZU","22-Apr-24",100,52,100,5200,"","N","Y","N","19-Apr-24","N"
24071,"17/04/2024 17:29","CP-NZU","19-Apr-24",51,54.5,51,2779.5,"","N","Y","N","18-Apr-24","N"
24069,"17/04/2024 14:12","CP-NZU","19-Apr-24",25,51,25,1275,"","N","Y","N","18-Apr-24","N"
24059,"17/04/2024 12:24","CP-NZU","19-Apr-24",780,52,780,40560,"Off Market Trade","Y","Y","N","18-Apr-24","N"
24027,"15/04/2024 16:27","CP-NZU","17-Apr-24",400,52.5,400,21000,"","N","Y","N","16-Apr-24","N"
24018,"14/04/2024 18:11","CP-NZU","16-Apr-24",1,54,1,54,"","N","Y","N","15-Apr-24","N"
24002,"13/04/2024 12:54","CP-NZU","16-Apr-24",35,54,35,1890,"","N","Y","N","15-Apr-24","N"
23988,"12/04/2024 8:33","CP-NZU","11-Jul-24",2700,54,2700,145800,"Off Market Trade","Y","Y","N","10-Jul-24","N"
23973,"11/04/2024 9:41","CP-NZU","15-Apr-24",60,53.5,60,3210,"","N","Y","N","12-Apr-24","N"
23967,"10/04/2024 15:09","CP-NZU","12-Apr-24",49,53.5,49,2621.5,"","N","Y","N","11-Apr-24","N"
23966,"10/04/2024 14:47","CP-NZU","12-Apr-24",81,54.5,81,4414.5,"","N","Y","N","11-Apr-24","N"
23962,"9/04/2024 14:58","CP-NZU","11-Apr-24",100,55,100,5500,"","N","Y","N","10-Apr-24","N"
