"Date","Daily.VWAP","ECMI","ECQI"
2023-01-15,NA,82.7373,85.1472
2023-01-16,76.0854,80.3264,84.8244
2023-01-17,NA,80.3264,84.8244
2023-01-18,NA,80.3264,84.8657
2023-01-19,NA,80.3264,84.8657
2023-01-20,NA,80.3264,84.8657
2023-01-21,NA,79.5622,84.8657
2023-01-22,NA,76.3367,84.8657
2023-01-23,NA,76.1467,84.8657
2023-01-24,NA,76.1467,84.8657
2023-01-25,NA,76.1467,84.8657
2023-01-26,NA,76.1467,84.9658
2023-01-27,NA,76.1467,84.9658
2023-01-28,NA,76.1467,84.9658
2023-01-29,NA,76.1467,84.9658
2023-01-30,NA,76.1467,84.9658
2023-01-31,NA,76.1467,84.9815
2023-02-01,NA,76.1467,85.0342
2023-02-02,71.75,74.2144,84.6432
2023-02-03,NA,74.2144,84.6432
2023-02-04,NA,74.2144,84.6432
2023-02-05,NA,74.2144,84.6432
2023-02-06,NA,74.2144,84.6432
2023-02-07,NA,74.1058,84.6432
2023-02-08,NA,74.1058,84.6475
2023-02-09,NA,74.1058,84.6468
2023-02-10,71.3868,73.7056,84.4911
2023-02-11,NA,73.7056,84.4911
2023-02-12,NA,73.7056,84.4911
2023-02-13,71,73.4152,84.363
2023-02-14,NA,71.5313,84.227
2023-02-15,71.0793,71.4121,83.8439
2023-02-16,71.2,71.4013,83.7096
2023-02-17,71,71.2595,83.1739
2023-02-18,NA,71.2595,83.1739
2023-02-19,NA,71.2595,83.1562
2023-02-20,71.1483,71.226,82.5657
2023-02-21,70.1,71.1445,82.4092
2023-02-22,NA,71.1445,82.2781
2023-02-23,NA,71.1445,82.0803
2023-02-24,67,70.0439,81.1433
2023-02-25,NA,70.0439,81.1433
2023-02-26,NA,70.0439,81.1433
2023-02-27,NA,70.0439,80.966
2023-02-28,66.383,69.7594,80.6771
2023-03-01,66.5,69.3418,79.7291
2023-03-02,65.5809,69.0708,78.8785
2023-03-03,65.28,68.8202,78.5588
2023-03-04,NA,68.8202,78.5588
2023-03-05,NA,68.5346,78.5588
2023-03-06,66.1855,68.1126,74.7942
2023-03-07,NA,68.1126,72.8449
2023-03-08,NA,68.1126,71.9853
2023-03-09,NA,68.1126,71.9853
2023-03-10,65.65,67.8102,71.446
2023-03-11,NA,67.8102,71.446
2023-03-12,NA,67.8102,71.446
2023-03-13,66.1643,67.4248,70.5389
2023-03-14,65.875,67.3525,70.3779
2023-03-15,66.48,67.3045,69.9148
2023-03-16,NA,67.2432,69.4097
2023-03-17,68.7143,67.2659,69.4012
2023-03-18,NA,67.14,69.4012
2023-03-19,NA,67.1125,69.4012
2023-03-20,NA,66.8084,69.4012
2023-03-21,NA,66.8084,68.9339
2023-03-22,NA,66.8084,68.2015
2023-03-23,64.6473,66.2443,67.9608
2023-03-24,65,66.1345,67.9457
2023-03-25,NA,66.1345,67.9457
2023-03-26,NA,66.1345,67.9457
2023-03-27,65,65.9578,67.8616
2023-03-28,62.625,65.6151,67.517
2023-03-29,62,65.3563,67.2576
2023-03-30,NA,65.3563,67.2576
2023-03-31,58,65.3105,67.2532
2023-04-01,NA,65.1962,67.2532
2023-04-02,NA,65.1917,67.2532
2023-04-03,57,64.8431,67.0178
2023-04-04,53.9091,67.4614,68.1507
2023-04-05,50.3198,66.8408,67.672
2023-04-06,54.2296,65.4775,66.7267
2023-04-07,NA,65.4775,66.7267
2023-04-08,NA,65.4775,66.7267
2023-04-09,NA,65.4658,66.7267
2023-04-10,NA,65.4658,66.7059
2023-04-11,59.8779,63.9238,65.4173
2023-04-12,NA,63.7046,65.4173
2023-04-13,57,63.6003,65.3811
2023-04-14,NA,63.5028,65.3811
2023-04-15,NA,63.5028,65.3811
2023-04-16,NA,63.4529,65.3811
2023-04-17,NA,63.4529,65.1316
2023-04-18,65,63.4529,65.1316
2023-04-19,NA,63.4529,65.1316
2023-04-20,61.75,63.4529,65.1316
2023-04-21,59.4532,63.401,65.0874
2023-04-22,NA,63.3591,65.0874
2023-04-23,NA,63.3526,65.0874
2023-04-24,59.5,62.8792,64.6688
2023-04-25,NA,62.8792,64.6688
2023-04-26,60.9269,62.798,64.6238
2023-04-27,61,62.8069,64.6238
2023-04-28,61,62.8395,64.6238
2023-04-29,NA,62.8395,64.6238
2023-04-30,NA,62.8414,64.6238
2023-05-01,NA,62.8414,64.6238
2023-05-02,NA,64.4895,65.4936
2023-05-03,NA,64.4895,65.4936
2023-05-04,53.431,64.2935,65.1766
2023-05-05,53.5,60.9833,65.1558
2023-05-06,NA,61.5075,65.1558
2023-05-07,NA,62.6779,65.1558
2023-05-08,50.44,62.6436,65.1427
2023-05-09,50.2063,62.3011,65.0099
2023-05-10,51,62.2999,65.0095
2023-05-11,NA,62.2999,65.0095
2023-05-12,NA,64.8694,64.9684
2023-05-13,NA,64.8694,64.9684
2023-05-14,NA,65.0652,64.9684
2023-05-15,50.8402,63.8963,64.7441
