"Trade.ID","Date...Time","Product","Delivery.Date","Quantity","Unit.Price","Total.Quantity","Value","Off.Market.Trade","Broker","Anonymous"
28410,2025-02-14 10:07:00,"CP-NZU",2025-02-18,600,63,600,37800,"","N","Y"
28392,2025-02-12 15:51:00,"CP-NZU",2025-02-14,80,63,80,5040,"","N","Y"
28391,2025-02-12 15:51:00,"CP-NZU",2025-02-14,91,63,91,5733,"","N","Y"
28390,2025-02-12 15:51:00,"CP-NZU",2025-02-14,300,63,300,18900,"","N","Y"
28384,2025-02-12 15:25:00,"CP-NZU",2025-02-14,300,62.75,300,18825,"","N","Y"
28370,2025-02-11 14:09:00,"CP-NZU",2025-02-13,250,63,250,15750,"","N","Y"
28369,2025-02-11 14:09:00,"CP-NZU",2025-02-13,139,63,139,8757,"","N","Y"
28368,2025-02-11 14:09:00,"CP-NZU",2025-02-13,92,63,92,5796,"","N","Y"
28367,2025-02-11 14:09:00,"CP-NZU",2025-02-13,63,63,63,3969,"","N","Y"
28366,2025-02-11 10:39:00,"CP-NZU",2025-02-13,30,63,30,1890,"","N","Y"
28362,2025-02-10 15:19:00,"CP-NZU",2025-02-12,2000,63,2000,126000,"","N","Y"
28361,2025-02-10 13:57:00,"CP-NZU",2025-02-12,61,63,61,3843,"","N","Y"
28360,2025-02-10 13:57:00,"CP-NZU",2025-02-12,1270,63,1270,80010,"","N","Y"
28359,2025-02-10 13:57:00,"CP-NZU",2025-02-12,1000,63,1000,63000,"","N","Y"
28358,2025-02-10 13:57:00,"CP-NZU",2025-02-12,380,63,380,23940,"","N","Y"
28352,2025-02-10 11:25:00,"CP-NZU",2025-02-12,205,62.5,205,12812.5,"","N","Y"
28342,2025-02-07 16:56:00,"CP-NZU",2025-02-11,500,63,500,31500,"","N","Y"
28335,2025-02-07 10:03:00,"CP-NZU",2025-02-11,163,63.2,163,10301.6,"","N","Y"
28324,2025-02-07 08:58:00,"CP-NZU",2025-02-11,137,63.2,137,8658.4,"","N","Y"
28315,2025-02-06 11:38:00,"CP-NZU",2025-02-10,200,63.5,200,12700,"","N","Y"
28313,2025-02-06 09:39:00,"CP-NZU",2025-02-10,500,63.5,500,31750,"","N","Y"
28312,2025-02-06 09:39:00,"CP-NZU",2025-02-10,143,63.5,143,9080.5,"","N","Y"
28306,2025-02-05 17:36:00,"CP-NZU",2025-02-10,269,63.5,269,17081.5,"","N","Y"
28305,2025-02-05 17:36:00,"CP-NZU",2025-02-10,83,63.4,83,5262.2,"","N","Y"
28304,2025-02-05 17:36:00,"CP-NZU",2025-02-10,148,63.15,148,9346.2,"","N","Y"
28295,2025-02-04 14:46:00,"CP-NZU",2025-02-07,521,63.75,521,33213.75,"","N","Y"
28294,2025-02-04 14:36:00,"CP-NZU",2025-02-07,200,63.6,200,12720,"","N","Y"
28293,2025-02-04 14:36:00,"CP-NZU",2025-02-07,100,63.4,100,6340,"","N","Y"
