Trade ID,Date / Time,Product,Delivery Date,Quantity,Unit Price,Total Quantity,Value,Off Market Trade,Broker,Anonymous
29039,3/21/2025 17:49,CP-NZU,25-Mar-25,20,59.25,20,1185,,N,Y
29038,3/21/2025 17:49,CP-NZU,25-Mar-25,1480,59.25,1480,87690,,N,Y
29037,3/21/2025 17:44,CP-NZU,25-Mar-25,20,59.25,20,1185,,N,Y
29036,3/21/2025 17:21,CP-NZU,25-Mar-25,1000,59.5,1000,59500,,N,Y
29019,3/21/2025 14:55,CP-NZU,25-Mar-25,31,59.5,31,1844.5,,N,Y
29018,3/21/2025 13:58,CP-NZU,25-Mar-25,5,60,5,300,,N,Y
29017,3/21/2025 13:58,CP-NZU,25-Mar-25,85,59.9,85,5091.5,,N,Y
29009,3/21/2025 8:52,CP-NZU,25-Mar-25,95,60,95,5700,,N,Y
29008,3/20/2025 16:30,CP-NZU,24-Mar-25,2,60,2,120,,N,Y
29007,3/20/2025 16:22,CP-NZU,24-Mar-25,1800,59.5,1800,107100,,N,Y
28996,3/20/2025 13:17,CP-NZU,24-Mar-25,400,59.5,400,23800,,N,Y
28985,3/19/2025 10:49,CP-NZU,21-Mar-25,114,59.25,114,6754.5,,N,Y
28982,3/19/2025 8:25,CP-NZU,21-Mar-25,10,59.5,10,595,,N,Y
28980,3/18/2025 14:31,CP-NZU,20-Mar-25,2500,59.5,2500,148750,,N,Y
28976,3/18/2025 13:58,CP-NZU,20-Mar-25,1500,59.25,1500,88875,,N,Y
28952,3/18/2025 11:58,CP-NZU,20-Mar-25,1829,59.3,1829,108459.7,,N,Y
28950,3/18/2025 11:34,CP-NZU,20-Mar-25,200,60,200,12000,,N,Y
28933,3/17/2025 15:16,CP-NZU,19-Mar-25,1367,59,1367,80653,,N,Y
28932,3/17/2025 14:22,CP-NZU,19-Mar-25,560,60,560,33600,,N,Y
28931,3/17/2025 13:46,CP-NZU,19-Mar-25,352,60,352,21120,,N,Y
28930,3/17/2025 13:46,CP-NZU,19-Mar-25,100,60,100,6000,,N,Y
28926,3/17/2025 12:23,CP-NZU,19-Mar-25,1773,59.5,1773,105493.5,,N,Y
28853,3/14/2025 11:37,CP-NZU,18-Mar-25,996,60,996,59760,,N,Y
28852,3/14/2025 10:56,CP-NZU,18-Mar-25,1500,60.75,1500,91125,,N,Y
28847,3/13/2025 18:19,CP-NZU,17-Mar-25,500,60.75,500,30375,,N,Y
28833,3/13/2025 15:54,CP-NZU,17-Mar-25,1000,60.9,1000,60900,,N,Y
28832,3/13/2025 15:18,CP-NZU,17-Mar-25,2000,61,2000,122000,,N,Y
28824,3/13/2025 13:30,CP-NZU,17-Mar-25,1500,61.25,1500,91875,,N,Y
28823,3/13/2025 10:19,CP-NZU,17-Mar-25,110,61.45,110,6759.5,,N,Y
28822,3/12/2025 13:36,CP-NZU,14-Mar-25,2000,61.5,2000,123000,,N,Y
28747,3/8/2025 8:26,CP-NZU,11-Mar-25,150,61.75,150,9262.5,,N,Y
28729,3/7/2025 12:38,CP-NZU,11-Mar-25,1500,61.25,1500,91875,,N,Y
28728,3/7/2025 10:57,CP-NZU,11-Mar-25,2000,61.5,2000,123000,,N,Y
28727,3/7/2025 10:57,CP-NZU,11-Mar-25,100,61.5,100,6150,,N,Y
28726,3/7/2025 10:50,CP-NZU,11-Mar-25,1500,61.75,1500,92625,,N,Y
28715,3/7/2025 9:10,CP-NZU,11-Mar-25,100,62,100,6200,,N,Y
28667,3/4/2025 15:07,CP-NZU,6-Mar-25,100,62.5,100,6250,,N,Y
28660,3/4/2025 12:19,CP-NZU,6-Mar-25,390,62.5,390,24375,,N,Y
28648,3/3/2025 17:24,CP-NZU,5-Mar-25,2000,62.9,2000,125800,,N,Y
28638,3/3/2025 12:06,CP-NZU,5-Mar-25,234,63,234,14742,,N,Y
28586,2/27/2025 13:58,CP-NZU,3-Mar-25,64,63.1,64,4038.4,,N,Y
28585,2/27/2025 13:57,CP-NZU,3-Mar-25,1500,63,1500,94500,,N,Y
28583,2/27/2025 13:09,CP-NZU,3-Mar-25,300,63,300,18900,,N,Y
28582,2/27/2025 12:27,CP-NZU,3-Mar-25,235,63,235,14805,,N,Y
28581,2/27/2025 12:27,CP-NZU,3-Mar-25,500,63,500,31500,,N,Y
28579,2/27/2025 10:27,CP-NZU,3-Mar-25,1500,62.75,1500,94125,,N,Y
28578,2/27/2025 10:27,CP-NZU,3-Mar-25,35,62.5,35,2187.5,,N,Y
28577,2/27/2025 10:18,CP-NZU,3-Mar-25,426,62.5,426,26625,,N,Y
28575,2/26/2025 16:51,CP-NZU,28-Feb-25,20,62.5,20,1250,,N,Y
28563,2/26/2025 12:25,CP-NZU,28-Feb-25,292,62.5,292,18250,,N,Y
28562,2/26/2025 12:22,CP-NZU,28-Feb-25,817,63,817,51471,,N,Y
28561,2/26/2025 12:07,CP-NZU,28-Feb-25,37,63,37,2331,,N,Y
28560,2/26/2025 10:35,CP-NZU,28-Feb-25,100,63,100,6300,,N,Y
28559,2/26/2025 10:35,CP-NZU,28-Feb-25,1,62.9,1,62.9,,N,Y
28554,2/24/2025 18:37,CP-NZU,26-Feb-25,436,63.1,436,27511.6,,N,Y
28553,2/24/2025 18:37,CP-NZU,26-Feb-25,100,63,100,6300,,N,Y
28552,2/24/2025 18:37,CP-NZU,26-Feb-25,100,63,100,6300,,N,Y
28551,2/24/2025 17:47,CP-NZU,26-Feb-25,100,62.8,100,6280,,N,Y
28546,2/24/2025 13:36,CP-NZU,26-Feb-25,100,62.5,100,6250,,N,Y
28514,2/21/2025 15:43,CP-NZU,25-Feb-25,1369,63,1369,86247,,N,Y
