"date","price"
2024-03-04,65
2024-03-05,66
2024-03-06,67.25
2024-03-07,68
2024-03-08,69
2024-03-11,68.25
2024-03-12,69
2024-03-13,67.5
2024-03-15,65
2024-03-18,65
2024-03-19,64.75
2024-03-20,63
2024-03-21,52.5
2024-03-22,54.12
2024-03-25,54
2024-03-28,56
2024-04-02,57
2024-04-03,58.5
2024-04-04,57.75
2024-04-08,57.25
2024-04-09,55
2024-04-10,54
2024-04-11,53.5
2024-04-12,54
2024-04-13,54
2024-04-14,54
2024-04-15,52.5
2024-04-17,52
2024-04-18,52.5
2024-04-22,55
2024-04-23,55.5
2024-04-24,55
2024-04-29,54
2024-05-01,55
2024-05-02,53.23
2024-05-03,53.15
2024-05-06,55
2024-05-07,55
2024-05-08,55
2024-05-09,54
2024-05-10,54.05
2024-05-13,54
2024-05-14,53.75
2024-05-16,54
2024-05-17,52
2024-05-20,45
2024-05-22,44.5
2024-05-23,45.5
2024-05-24,44.5
2024-05-25,44.5
2024-05-26,44.5
2024-05-27,44
2024-05-28,44.5
2024-05-29,46
2024-05-30,47
2024-05-31,48
2024-06-03,46
2024-06-04,52
2024-06-05,55
2024-06-06,55
2024-06-07,53.5
2024-06-11,52.5
2024-06-12,52.5
2024-06-13,53
2024-06-14,51.25
2024-06-17,49.88
2024-06-19,47.38
2024-06-20,47
2024-06-21,49.5
2024-06-24,49
2024-06-26,47.75
2024-06-29,48.75
2024-07-01,50
2024-07-02,52
2024-07-03,51
2024-07-04,51
2024-07-08,51.25
2024-07-09,51.92
2024-07-10,52.25
2024-07-11,53.25
2024-07-12,52.5
2024-07-15,52.5
2024-07-16,54
2024-07-17,54.5
2024-07-22,52.5
2024-07-23,51
2024-07-24,50.5
2024-07-25,50.25
2024-07-26,50.2
2024-07-29,50
2024-07-30,52
2024-07-31,51.5
2024-08-01,51
2024-08-02,52.5
2024-08-05,53
2024-08-07,52.5
2024-08-13,53
2024-08-14,53
2024-08-19,54.25
2024-08-20,60
2024-08-21,59
2024-08-23,59.75
2024-08-26,60
2024-08-27,60.5
2024-08-29,61
2024-08-30,61
2024-09-02,62
2024-09-03,61.5
2024-09-04,61
2024-09-05,61.5
2024-09-06,60.5
2024-09-09,61.45
2024-09-10,61.5
2024-09-11,61.4
2024-09-12,61
2024-09-16,61
2024-09-17,61
2024-09-18,61
2024-09-19,61.5
2024-09-20,61.62
2024-09-23,61
2024-09-24,61.2
2024-09-25,62
2024-09-27,62
2024-09-30,62
2024-10-01,62.12
2024-10-02,62.5
2024-10-03,62.35
2024-10-08,61.5
2024-10-10,62.3
2024-10-11,62.5
2024-10-14,62.12
2024-10-15,62.75
2024-10-16,62.5
2024-10-17,63
2024-10-18,62.5
2024-10-22,62.8
2024-10-23,62.65
2024-10-25,62.8
2024-10-29,62.5
2024-10-30,62.75
2024-10-31,63
2024-11-01,63
2024-11-05,63.5
2024-11-06,63.5
2024-11-07,63.5
2024-11-08,63.6
2024-11-11,63.5
2024-11-12,63.6
2024-11-14,63.7
2024-11-15,63.8
2024-11-18,63.8
2024-11-22,63.8
2024-11-25,63.45
2024-11-26,63.5
2024-11-27,63.5
2024-11-28,63.8
2024-12-02,63.45
2024-12-03,64
2024-12-04,64.5
2024-12-05,63.35
2024-12-06,62.5
2024-12-09,60
2024-12-13,63.1
2024-12-16,61.5
2024-12-17,63
2024-12-19,60.5
2024-12-23,59.7
2024-12-27,62
2024-12-31,62.3
2025-01-03,63
2025-01-06,63.25
2025-01-08,63.25
2025-01-09,63.25
2025-01-10,62.5
2025-01-13,62
2025-01-14,63.1
2025-01-16,63
2025-01-17,63
2025-01-20,63.25
2025-01-21,63
2025-01-22,62.5
2025-01-23,64
2025-01-24,63.12
2025-01-27,63
2025-01-28,63.25
2025-01-29,63
2025-01-31,63.75
2025-02-03,63.38
2025-02-04,63.5
2025-02-05,63.4
2025-02-06,63.5
2025-02-07,63.2
