"Trade.ID","Date...Time","Product","Delivery.Date","Quantity","Unit.Price","Total.Quantity","Value","Off.Market.Trade","Broker","Anonymous"
9744,2021-02-17 09:56:00,"CP-NZU","24-Feb-21",100,40,100,4000,"","N","Y"
9845,2021-03-03 13:18:00,"CP-NZU","10-Mar-21",500,38.95,500,19475,"","N","Y"
10032,2021-03-31 13:42:00,"CP-NZU","9-Apr-21",500,39,500,19500,"","N","Y"
10105,2021-04-06 17:03:00,"CP-NZU","13-Apr-21",5,39,5,195,"","N","Y"
10373,2021-05-17 11:08:00,"CP-NZU","24-May-21",35,41.15,35,1440.25,"","N","Y"
10389,2021-05-20 15:20:00,"CP-NZU","27-May-21",5000,36.75,5000,183750,"","N","Y"
10388,2021-05-20 15:20:00,"CP-NZU","27-May-21",20,37.6,20,752,"","N","Y"
10415,2021-05-25 12:05:00,"CP-NZU","1-Jun-21",160,37,160,5920,"","N","Y"
10416,2021-05-25 12:07:00,"CP-NZU","1-Jun-21",100,37.5,100,3750,"","N","Y"
10417,2021-05-25 14:11:00,"CP-NZU","1-Jun-21",10,37.5,10,375,"","N","Y"
10611,2021-06-14 10:17:00,"CP-NZU","21-Jun-21",140,40.25,140,5635,"","N","Y"
10875,2021-07-20 10:08:00,"CP-NZU","27-Jul-21",1549,48,1549,74352,"","N","Y"
10950,2021-08-03 15:10:00,"CP-NZU","10-Aug-21",10000,48.7,10000,487000,"","N","Y"
10951,2021-08-03 15:39:00,"CP-NZU","10-Aug-21",2000,48.75,2000,97500,"","N","Y"
10991,2021-08-10 11:44:00,"CP-NZU","17-Aug-21",8000,49.2,8000,393600,"","N","Y"
11005,2021-08-13 10:45:00,"CP-NZU","20-Aug-21",500,50,500,25000,"","N","Y"
11006,2021-08-16 15:56:00,"CP-NZU","23-Aug-21",1500,49.5,1500,74250,"","N","Y"
11034,2021-08-20 16:57:00,"CP-NZU","27-Aug-21",600,49.6,600,29760,"","N","Y"
