"date","price"
2021-02-17,40
2021-03-03,38.95
2021-03-31,39
2021-04-05,39
2021-05-16,41.15
2021-05-19,37.17
2021-05-24,37.5
2021-06-13,40.25
2021-07-19,48
2021-08-02,48.73
2021-08-09,49.2
2021-08-12,50
2021-08-15,49.5
2021-08-19,49.6
2021-08-22,50.28
2021-08-25,50.65
2021-09-01,59
2021-09-06,62
2021-09-09,66
2021-10-18,65
2021-10-21,65
2021-10-22,65
2021-10-27,65.05
2021-10-28,65
2022-01-19,73
2022-01-20,74
2022-02-04,78
2022-02-08,77.5
2022-02-15,84
2022-02-22,82
2022-02-23,81.5
2022-02-24,81
2022-02-25,80.25
2022-03-03,81
2022-03-04,79
2022-03-07,78.25
2022-03-08,76
2022-03-09,74.75
2022-03-19,72.5
2022-03-24,73.08
2022-03-25,74.15
2022-04-01,75.5
2022-04-03,75.5
2022-04-11,75.92
2022-04-13,76.5
2022-04-19,77
2022-04-20,76.72
2022-04-25,76
2022-04-26,76
2022-05-01,75
2022-05-02,76
2022-05-04,76.15
2022-05-09,76.6
2022-05-17,76.6
2022-05-23,77
2022-05-24,77
2022-05-25,77.3
2022-05-29,76.77
2022-06-01,76.7
2022-06-02,76.8
2022-06-08,77.25
2022-06-09,76.6
2022-06-12,76.95
2022-06-13,76.5
2022-06-14,76.75
2022-06-16,76.92
2022-06-20,76.4
2022-06-22,76.5
2022-06-23,76.45
2022-06-26,76
2022-06-27,76
2022-06-29,76
2022-06-30,75.96
2022-07-03,75.4
2022-07-04,75.5
2022-07-06,74
2022-07-07,73.1
2022-07-10,74.25
2022-07-11,73.75
2022-07-12,72.9
2022-07-14,73.15
2022-07-18,72.95
2022-07-20,73.15
2022-07-24,72.92
2022-07-26,77
2022-07-27,80.5
2022-07-28,79.75
2022-08-02,79.5
2022-08-04,79.55
2022-08-08,79.8
2022-08-09,80
2022-08-11,80
2022-08-14,80.25
2022-08-15,80.9
2022-08-17,84.5
2022-08-20,85
2022-08-22,85.2
2022-08-23,85.5
2022-08-24,85.4
2022-08-25,86
2022-08-28,86.5
2022-08-29,86.62
2022-08-30,86.3
2022-08-31,86.65
2022-09-01,86.72
2022-09-05,87
2022-09-06,86.4
2022-09-08,85.7
2022-09-12,87.5
2022-09-15,83.05
2022-09-19,83
2022-09-22,81.75
2022-09-27,81.25
2022-09-28,79.25
2022-10-03,78.05
2022-10-04,78
2022-10-10,83
2022-10-11,82.5
2022-10-20,80.5
2022-10-26,81.25
2022-10-27,82
2022-10-28,82.42
2022-11-03,83
2022-11-04,84.75
2022-11-07,85.25
2022-11-09,87.3
2022-11-10,87.88
2022-11-11,87.8
2022-11-14,87.9
2022-11-17,88.4
2022-11-18,88.25
2022-11-22,88.1
2022-11-24,86.8
2022-11-25,86.2
2022-11-29,85.4
2022-11-30,84.15
2022-12-01,83.7
2022-12-06,82
2022-12-08,82.5
2022-12-09,82.75
2022-12-14,82.5
2022-12-15,84.15
2022-12-16,77.5
2022-12-19,77
2022-12-23,76.5
2022-12-28,77.5
2023-01-04,76.5
2023-01-05,75.7
2023-01-11,73.5
2023-01-30,71.75
2023-02-08,71.2
2023-02-09,71
2023-02-13,71.1
2023-02-14,71.2
2023-02-15,71
2023-02-16,71.1
2023-02-17,70.1
2023-02-22,67
2023-02-24,67
2023-02-27,66.5
2023-02-28,66
2023-03-01,65.25
2023-03-02,66.25
2023-03-08,65.65
2023-03-09,66
2023-03-10,65.88
2023-03-13,66.5
2023-03-15,70
2023-03-21,65
2023-03-22,65
2023-03-23,65
2023-03-24,62.25
2023-03-25,62
2023-03-27,62
2023-03-28,61
2023-03-29,58
2023-03-30,57
2023-03-31,55
2023-04-02,50
2023-04-03,55
2023-04-10,57
2023-04-13,65
2023-04-17,61.75
2023-04-18,58.75
2023-04-19,59.5
2023-04-20,60.5
2023-04-21,61.25
2023-04-23,61
2023-04-25,61
2023-05-01,53.5
2023-05-02,53.5
2023-05-03,50.75
2023-05-04,51
2023-05-07,51
2023-05-10,50
2023-05-11,50.5
2023-05-14,51.5
2023-05-15,50.33
2023-05-16,50.4
2023-05-17,50.5
2023-05-18,52.25
2023-05-21,52.5
2023-05-23,53.5
2023-05-24,53
2023-05-29,53.5
2023-05-31,53.5
2023-06-01,54.62
2023-06-05,54
2023-06-06,55
2023-06-07,56
2023-06-11,56
2023-06-12,55.5
2023-06-13,58.5
2023-06-15,58
2023-06-18,58
2023-06-19,51
2023-06-28,40.75
2023-06-29,40
2023-07-04,36.5
2023-07-09,39.8
2023-07-12,38.5
2023-07-15,34
2023-07-16,43
2023-07-17,47.5
2023-07-19,46
2023-07-20,45
2023-07-23,44
2023-07-24,50
2023-07-25,65
2023-07-26,63.75
2023-08-01,57.5
2023-08-02,55
2023-08-03,55
2023-08-06,57
2023-08-07,58
2023-08-08,60
2023-08-10,60
2023-08-13,60
2023-08-14,60
2023-08-15,60.5
2023-08-16,61
2023-08-17,63
2023-08-18,63.5
2023-08-20,64.53
2023-08-21,64.85
2023-08-22,65
2023-08-24,66
2023-08-27,66
2023-08-28,66
2023-08-29,66.75
2023-08-30,67.5
2023-08-31,69.5
2023-09-03,70
2023-09-04,70
2023-09-05,70
2023-09-06,70.88
2023-09-07,71.75
2023-09-13,71
2023-09-15,70
2023-09-18,65
2023-09-19,65
2023-09-20,65.75
2023-09-21,65
2023-09-22,64.5
2023-09-25,67.25
2023-09-26,64
2023-09-27,63.5
2023-09-28,65
2023-09-29,65
2023-10-02,65
2023-10-04,64
2023-10-05,68
2023-10-06,65.25
2023-10-09,65
2023-10-10,65.5
2023-10-11,66.9
2023-10-13,67
2023-10-16,66.05
2023-10-17,67.5
2023-10-18,68.62
2023-10-24,68
2023-10-25,68.62
2023-10-26,69
2023-10-27,69
2023-10-30,69
2023-11-01,69.5
2023-11-02,69.5
2023-11-03,69
2023-11-06,70
2023-11-07,70.2
2023-11-08,71
2023-11-14,70.9
2023-11-15,70
2023-11-16,70
2023-11-17,70
2023-11-20,70
2023-11-21,70.25
2023-11-22,70.2
2023-11-23,70.22
2023-11-24,70.95
2023-11-27,72
2023-11-28,73
2023-11-29,75
2023-11-30,73.5
2023-12-01,73.88
2023-12-03,74.5
2023-12-04,75
2023-12-06,74.75
2023-12-07,71
2023-12-11,70
2023-12-12,71
2023-12-13,71.95
2023-12-14,71.5
2023-12-15,71
2023-12-18,71
2023-12-21,70
2024-01-12,68.35
2024-01-22,67
2024-01-23,67.5
2024-01-24,69
2024-01-26,69.55
2024-01-30,70.25
2024-01-31,73
2024-02-01,73.12
2024-02-02,73
2024-02-12,73
2024-02-13,71
2024-02-14,70
2024-02-15,70
2024-02-16,68.5
2024-02-19,68.4
2024-02-20,69.25
2024-02-21,66.75
2024-02-22,66.5
2024-02-26,66.5
2024-02-27,66.5
2024-02-29,65.75
2024-03-01,66.75
2024-03-04,65
2024-03-05,66
2024-03-06,67.25
2024-03-07,68
2024-03-08,69
2024-03-11,68.25
2024-03-12,69
2024-03-13,67.5
2024-03-15,65
2024-03-18,65
2024-03-19,64.75
2024-03-20,63
2024-03-21,52.5
2024-03-22,54.12
2024-03-25,54
2024-03-28,56
2024-04-02,57
2024-04-03,58.5
2024-04-04,57.75
2024-04-07,57.25
2024-04-08,55
2024-04-09,54
2024-04-10,53.5
2024-04-11,54
2024-04-12,54
2024-04-13,54
2024-04-14,52.5
2024-04-16,52
2024-04-17,52.5
2024-04-21,55
2024-04-22,55.5
2024-04-23,55
2024-04-28,54
2024-04-30,55
2024-05-01,53.23
2024-05-02,53.15
2024-05-05,55
2024-05-06,55
2024-05-07,55
2024-05-08,54
2024-05-09,54.05
2024-05-12,54
2024-05-13,53.75
2024-05-15,54
2024-05-16,52
2024-05-19,45
2024-05-21,44.5
2024-05-22,45.5
2024-05-23,44.5
2024-05-24,44.5
2024-05-25,44.5
2024-05-26,44
2024-05-27,44.5
2024-05-28,46
2024-05-29,47
2024-05-30,48
2024-06-02,46
2024-06-03,52
2024-06-04,55
2024-06-05,55
2024-06-06,53.5
2024-06-10,52.5
2024-06-11,52.5
2024-06-12,53
2024-06-13,51.25
2024-06-16,49.88
2024-06-18,47.38
2024-06-19,47
2024-06-20,49.5
2024-06-23,49
2024-06-25,47.75
2024-06-28,48.75
2024-06-30,50
2024-07-01,52
2024-07-02,51
2024-07-03,51
2024-07-07,51.25
2024-07-08,51.92
2024-07-09,52.25
2024-07-10,53.25
2024-07-11,52.5
2024-07-14,52.5
2024-07-15,54
2024-07-16,54.5
2024-07-21,52.5
2024-07-22,51
2024-07-23,50.5
2024-07-24,50.25
2024-07-25,50.2
2024-07-28,50
2024-07-29,52
2024-07-30,51.5
2024-07-31,51
2024-08-01,52.5
2024-08-04,53
2024-08-06,52.5
2024-08-12,53
2024-08-13,53
2024-08-18,54.25
2024-08-19,60
2024-08-20,59
2024-08-22,59.75
2024-08-25,60
2024-08-26,60.5
2024-08-28,61
2024-08-29,61
2024-09-01,62
2024-09-02,61.5
2024-09-03,61
2024-09-04,61.5
2024-09-05,60.5
2024-09-08,61.45
2024-09-09,61.5
2024-09-10,61.4
2024-09-11,61
2024-09-15,61
2024-09-16,61
2024-09-17,61
2024-09-18,61.5
2024-09-19,61.62
2024-09-22,61
2024-09-23,61.2
2024-09-24,62
2024-09-26,62
2024-09-30,62
2024-10-01,62.12
2024-10-02,62.5
2024-10-03,62.35
2024-10-08,61.5
2024-10-10,62.3
2024-10-11,62.5
2024-10-14,62.12
2024-10-15,62.75
2024-10-16,62.5
2024-10-17,63
2024-10-18,62.5
2024-10-22,62.8
2024-10-23,62.65
2024-10-25,62.8
2024-10-29,62.5
2024-10-30,62.75
2024-10-31,63
2024-11-01,63
2024-11-05,63.5
2024-11-06,63.5
2024-11-07,63.5
2024-11-08,63.6
2024-11-11,63.5
2024-11-12,63.6
2024-11-14,63.7
2024-11-15,63.8
2024-11-18,63.8
2024-11-22,63.8
2024-11-25,63.45
2024-11-26,63.5
2024-11-27,63.5
2024-11-28,63.8
2024-12-02,63.45
2024-12-03,64
2024-12-04,64.5
2024-12-05,63.35
2024-12-06,62.5
2024-12-09,60
2024-12-13,63.1
2024-12-16,61.5
2024-12-17,63
2024-12-19,60.5
2024-12-23,59.7
2024-12-27,62
2024-12-31,62.3
2025-01-03,63
2025-01-06,63.25
2025-01-08,63.25
2025-01-09,63.25
2025-01-10,62.5
2025-01-13,62
2025-01-14,63.1
2025-01-16,63
2025-01-17,63
2025-01-20,63.25
2025-01-21,63
2025-01-22,62.5
2025-01-23,64
2025-01-24,63.12
2025-01-27,63
2025-01-28,63.25
2025-01-29,63
2025-01-31,63.75
2025-02-03,63.38
2025-02-04,63.5
2025-02-05,63.4
2025-02-06,63.5
2025-02-07,63.2
2025-02-10,63
2025-02-11,63
2025-02-12,63
2025-02-14,63
2025-02-18,62.5
2025-02-19,63.1
2025-02-20,62.5
2025-02-21,62.5
2025-02-24,63
2025-02-26,62.95
2025-02-27,63
2025-03-03,62.95
2025-03-04,62.5
2025-03-07,61.5
2025-03-08,61.75
2025-03-12,61.5
2025-03-13,61
2025-03-14,60.38
2025-03-17,60
2025-03-18,59.4
2025-03-19,59.38
2025-03-20,59.5
2025-03-21,59.5
2025-03-24,59
2025-03-25,58.5
2025-03-26,56.25
2025-03-27,58
2025-03-28,58.75
2025-03-31,57
2025-04-01,57
2025-04-02,56.48
2025-04-03,55
2025-04-04,55
2025-04-07,54.85
2025-04-08,54.5
2025-04-10,54.5
